height,nonce,block_hash,difficulty,leading_zeros_hex,leading_zeros_bits,phi_resonance_strength,phi_diff,is_phi_resonant
953824,1741942157,000000000000000000011d2d5084de3a7a50f88a687e44fbaa0d20099cf505c4,124932866006548.16,19,79,0.98721,8.7226,True
953823,3954700399,0000000000000000000004f11b40ac0e619df6897bda1624955f7e51ed09b736,124932866006548.16,21,85,0.820214,122.614,True
953822,640668707,000000000000000000020c37105706f5d0a890375a6350be611f97e15c423371,124932866006548.16,19,78,0.573832,290.6468,True
953821,3339979064,00000000000000000000bf3997282e6a029a00b2a52cea8950e4d5edaecb113b,124932866006548.16,20,80,0.373597,427.2072,True
953820,570697283,000000000000000000012a873150f0b58a7ad831efdbd328926dfbeff5080404,124932866006548.16,19,79,0.085419,623.7447,False
953819,199684276,0000000000000000000061770e6779e383a8c61435e7ceef5da93c9ecf8184b1,124932866006548.16,20,81,0.963825,24.6716,True
953818,4060398587,00000000000000000000ac74c7c9c1e3fc14199b11c602ca7d807f9ed3e192ea,124932866006548.16,20,80,0.582736,284.5745,True
953817,1768845217,00000000000000000000881bd51472cde7fbbc398d58e149446b5dea0257de45,124932866006548.16,20,80,0.29364,481.7378,True
953816,2374011125,0000000000000000000076fdd05582a190ceedd4e59f82bd6e7feed187d10b99,124932866006548.16,20,81,0.142241,584.9919,True
953815,1792371323,0000000000000000000061d5e20c5adecf73ccd9b69e9d936c0fff18e9590cde,124932866006548.16,20,81,0.031697,660.3829,True
953814,1789579836,00000000000000000000f74bed762b2a63e7c41a9e5c7827a4e2785f44438a15,124932866006548.16,20,80,0.944454,37.8822,True
953813,1702621802,00000000000000000000b4be958e926089b227ca629dd0d572a827b105f859b8,124932866006548.16,20,80,0.564306,297.1432,True
953812,3953827448,000000000000000000009a3a2282515c9ca406890390999459424e425169ac9a,124932866006548.16,20,80,0.834099,113.1448,True
953811,1218914975,000000000000000000011ff4852b32d56fb1c8ee8b8f0885269960e5575e03a3,124932866006548.16,19,79,0.601401,271.8449,True
953810,3088017744,00000000000000000001855a4884923df8ef1d4f477e07dc057760e1402c1b8f,124932866006548.16,19,79,0.178563,560.2201,True
953809,271338121,0000000000000000000155d0cc29610098df7df5d052f725fa3d546b7433ebe2,124932866006548.16,19,79,0.731439,183.1584,True
953808,2600372094,0000000000000000000012226b1ef1f4d982c4b7e1881aaa35c5da50c12b3c74,124932866006548.16,20,83,0.741459,176.3248,True
953807,3391440159,00000000000000000001b964c64a40de218ee5c9227fcaab058f7ef1e900035a,124932866006548.16,19,79,0.484066,351.8671,True
953806,2969555536,0000000000000000000170bd422e8e71e8f8fb90092d9f28d9f6899ad38f99d4,124932866006548.16,19,79,0.337402,451.8924,True
953805,3387093223,0000000000000000000125fb698e68dc34016e1a22769885dac3b8dbee6c4610,124932866006548.16,19,79,0.68104,217.5305,True
953804,1089597348,00000000000000000000281ab1d76f46d64bb7a9542fcf38082583d7bcaccd78,124932866006548.16,20,82,0.211659,537.6485,True
953803,3504663037,00000000000000000002100f5e6dcaa9cb9b5a89e0fdc2927f950e1f8b399c71,124932866006548.16,19,78,0.344981,446.7233,True
953802,272528966,000000000000000000010ec6985fa4bef0423480c4890d973f244cd71fc8cb91,124932866006548.16,19,79,0.62534,255.5184,True
953801,1089697692,000000000000000000008eb2ea3a7330750416dd16e3b19de9ae28db0e6588fb,124932866006548.16,20,80,0.656455,234.298,True
953800,2549551576,000000000000000000013caf559df111bd8782971f6ef51c9452ea8a8e5a7918,124932866006548.16,19,79,0.41003,402.36,True
953799,2985035671,00000000000000000000a819cf818c22c0e4e5915e3cbac9e5d292acb7998e23,124932866006548.16,20,80,0.20444,542.572,True
953798,1182130904,000000000000000000019e4be45677e4c0248a64f95610f87f4fb8fdba704895,124932866006548.16,19,79,0.160387,572.6162,True
953797,2843995491,0000000000000000000170db0d2ab5ad40377cc07575a2ca10b0984481b8f8d0,124932866006548.16,19,79,0.123724,597.6209,True
953796,3578674122,000000000000000000004250bf97eea7d506a68af0f4753045fbfd366768aa18,124932866006548.16,20,81,0.939145,41.5034,True
953795,83883004,000000000000000000010a933f38a33539abc63aa3dc87c4dff6dd90b54873cc,124932866006548.16,19,79,0.540929,313.0865,False
953794,1481629775,0000000000000000000150a6761e2999b1646f1102ea4e51669e17703562d026,124932866006548.16,19,79,0.491733,346.6383,True
953793,4066557732,00000000000000000002061fbcd464a5784db14ea35fa6b9fdbfb71073c05043,124932866006548.16,19,78,0.416809,397.7364,True
953792,1401305701,0000000000000000000156c4c46e42b001b65f32885c3b99de590cd9815ed2d4,124932866006548.16,19,79,0.336967,452.1887,True
953791,3945738342,0000000000000000000032d3754427318938191d8bea0f693319bc291bc80d36,124932866006548.16,20,82,0.018764,669.2035,True
953790,3710886292,000000000000000000003632fa88d3924d76b2219fa34f742c8fc0128b06f48f,124932866006548.16,20,82,0.321751,462.5664,True
953789,3922693335,000000000000000000022947977cf55409c7c24b179c85f073ee0635d9186519,124932866006548.16,19,78,0.333446,454.5898,True
953788,4289381269,000000000000000000019a9cd2b3b4da041e2e05f3c905f1b4eda0da831321ef,124932866006548.16,19,79,0.969939,20.5017,True
953787,570755541,000000000000000000010d10aafa6c24cdf64353b76a914215418b81609e7e85,124932866006548.16,19,79,0.49234,346.2245,True
953786,4068482678,000000000000000000020cf43dbea011a551780f0ae3681fd72fbe722e007195,124932866006548.16,19,78,0.916758,56.7708,True
953785,3422214577,00000000000000000001292d1997bc9d1d80951fd8e5ec471fee8de5f8241273,124932866006548.16,19,79,0.239871,518.4081,True
953784,4032164293,00000000000000000002348bb2be9aa78f270495be466c4a844fd0adb8fe506d,124932866006548.16,19,78,0.181452,558.2503,True
953783,972087139,00000000000000000001b49bfe91c247c7da80af693d4197f83c165f5f727091,124932866006548.16,19,79,0.054967,644.5127,True
953782,599811875,00000000000000000001c72b350a4d2a31b19af380372f402adb15cfcc5c634d,124932866006548.16,19,79,0.080069,627.3935,False
