height,nonce,block_hash,difficulty,leading_zeros_hex,leading_zeros_bits,phi_resonance_strength,phi_diff,is_phi_resonant
953790,3710886292,000000000000000000003632fa88d3924d76b2219fa34f742c8fc0128b06f48f,124932866006548.16,20,82,0.321751,462.5664,True
953789,3922693335,000000000000000000022947977cf55409c7c24b179c85f073ee0635d9186519,124932866006548.16,19,78,0.333446,454.5898,True
953788,4289381269,000000000000000000019a9cd2b3b4da041e2e05f3c905f1b4eda0da831321ef,124932866006548.16,19,79,0.969939,20.5017,True
953787,570755541,000000000000000000010d10aafa6c24cdf64353b76a914215418b81609e7e85,124932866006548.16,19,79,0.49234,346.2245,True
953786,4068482678,000000000000000000020cf43dbea011a551780f0ae3681fd72fbe722e007195,124932866006548.16,19,78,0.916758,56.7708,True
953785,3422214577,00000000000000000001292d1997bc9d1d80951fd8e5ec471fee8de5f8241273,124932866006548.16,19,79,0.239871,518.4081,True
953784,4032164293,00000000000000000002348bb2be9aa78f270495be466c4a844fd0adb8fe506d,124932866006548.16,19,78,0.181452,558.2503,True
953783,972087139,00000000000000000001b49bfe91c247c7da80af693d4197f83c165f5f727091,124932866006548.16,19,79,0.054967,644.5127,True
953782,599811875,00000000000000000001c72b350a4d2a31b19af380372f402adb15cfcc5c634d,124932866006548.16,19,79,0.080069,627.3935,False
953781,3105401792,00000000000000000000869a110f31a5beb166f5993526a386c2e4b596f208df,124932866006548.16,20,80,0.385812,418.8763,True
953780,3776181206,00000000000000000001de7adcad2e5808d88a15cbb0be2e9332ca8cab8d36c4,124932866006548.16,19,79,0.6134,263.6617,True
953779,2676335073,000000000000000000005e5d3f49c5cbb83a34d109a3305add2fb29633ffa6ed,124932866006548.16,20,81,0.134171,590.4956,True
953778,1711786328,00000000000000000000ba0e659707c664da0995b0956faaf34f3f937a08cd56,124932866006548.16,20,80,0.278491,492.0692,True
953777,1115502250,00000000000000000001f34337d3b89e636c814010cccd52b81bb118fb7840f5,124932866006548.16,19,79,0.081484,626.4285,True
953776,4085333089,000000000000000000021ec26804aa4898d03845398e8165cfb74f5b65ffb7cf,124932866006548.16,19,78,0.250986,510.828,True
953775,3377605994,000000000000000000011442b951856eda77b4387b1ce9a0db59323c640c732e,124932866006548.16,19,79,0.204444,542.5692,True
953774,3248306690,0000000000000000000025ae8bd3797aedd6cbd4a8f6346e32dbcb6cfe511cc8,124932866006548.16,20,82,0.52483,324.0662,True
953773,568865722,000000000000000000019567dbd0d484383c6292412a9f1b0af6d86858b6d765,124932866006548.16,19,79,0.513549,331.7601,True
953772,3169196585,00000000000000000000fda75384e0de758e7cb6010318751aa739755ff03358,124932866006548.16,20,80,0.31611,466.4133,True
953771,1568844621,00000000000000000000711d013bde37edb669e024b06493c4de86439f814ef9,124932866006548.16,20,81,0.445397,378.2393,True
953770,998410777,00000000000000000001d93812317fb20c30caa83689bf80c5b445fad3cc30dd,124932866006548.16,19,79,0.366036,432.3639,True
953769,3594782580,0000000000000000000202ff6d65550b9975322c8fe126771a4a63cdca29971f,124932866006548.16,19,78,0.366332,432.1617,True
953768,4288493004,00000000000000000001ba03f02004e8583164b471cd6c4e330c72fc36995f5f,124932866006548.16,19,79,0.52929,321.0244,True
953767,1634354288,0000000000000000000015666b4e774b57a52a761f3ff472e871ccfec4bdab50,124932866006548.16,20,83,0.376026,425.5503,True
953766,1240411283,0000000000000000000216c4e8e011abcb2c89d2b519b6d1ce98705ad584ee25,124932866006548.16,19,78,0.894854,71.7093,True
953765,1313585525,00000000000000000000a61c86e4f0ed645aec9c4758e0e4b4c7139a1b629a18,124932866006548.16,20,80,0.447156,377.0399,True
953764,482130667,000000000000000000000c72fee299d55b58c44f119266275e40359487bfe0dc,124932866006548.16,21,84,0.918095,55.8594,True
953763,1244071475,0000000000000000000105361b0c5f22a3247646b8544b3642e9dd692f93909e,124932866006548.16,19,79,0.25759,506.3237,True
953762,1866742677,000000000000000000019a9af2d3aff700838f0bb67bc336f5b6ea53c77b48d4,124932866006548.16,19,79,0.879243,82.3565,True
953761,3894218852,0000000000000000000028bda453f53b88613d7fedd525f31a4c9bb6c59b8449,124932866006548.16,20,82,0.247646,513.1059,True
953760,1271312552,0000000000000000000045895e93009fc99620bfb7939ba45f675fa4cf0eb1bf,124932866006548.16,20,81,0.649093,239.3185,True
953759,1182779797,00000000000000000000c18fae40cb309f6d204f330395719247e68a2e534df6,124932866006548.16,20,80,0.704887,201.2672,True
953758,691471742,0000000000000000000234dc64f4e81b8915ba658c074f09f42363fae94b093d,124932866006548.16,19,78,0.639795,245.6596,True
953757,2730538559,00000000000000000001d019ddf51d67376c714189f8ce6e20387d38e9335f92,124932866006548.16,19,79,0.92469,51.3615,True
953756,2006376724,00000000000000000000cf95539644e5e50dcc6495747223b844482b0e210e32,124932866006548.16,20,80,0.773595,154.4085,True
953755,2093820022,0000000000000000000116188889f4f27a9182244bef676e12a7a75ff925b326,124932866006548.16,19,79,0.684152,215.4085,True
953754,3434195216,000000000000000000014498428741bfb3b7f7ed2665813174024d19e77e3d80,124932866006548.16,19,79,0.850216,102.1528,True
953753,1575985588,0000000000000000000230ac8d43201c1680d313942dd2bb3e6687c7928f8f4d,124932866006548.16,19,78,0.934131,44.9227,True
953752,327059227,00000000000000000000a2f647a7ace51824de38f86b3f8e7b07d48d9d8896cf,124932866006548.16,20,80,0.273887,495.209,False
953751,1580014226,0000000000000000000035bc99ae5e58614c19ef324dcecd24d856789bc7dbea,124932866006548.16,20,82,0.156536,575.2429,True
953750,2372256312,00000000000000000000d0c4c43f277a54f1ce0654ea997c0f7ce6572f71c1cd,124932866006548.16,20,80,0.819552,123.0653,True
953749,2801048488,0000000000000000000046cdc2c05ad5bee3544b9c1503aea25d75240dac6050,124932866006548.16,20,81,0.012409,673.5373,True
953748,778929318,000000000000000000023362f2925ef3be029893df144a12724618e365e3a12a,124932866006548.16,19,78,0.514175,331.3331,True
953747,2873997701,00000000000000000001a168d8f309bdc942daf5d119c16ea1a8e0344c68a007,124932866006548.16,19,79,0.389658,416.2538,True
953746,2891555409,000000000000000000010f98de22b3e4fb40e6fef0f0ec414415eaa5fb88a1fd,124932866006548.16,19,79,0.036388,657.1839,True
953745,683263475,00000000000000000000c9890c4619122c7d20f4e025952f99590796302d6594,124932866006548.16,20,80,0.935847,43.7524,True
953744,1379866275,00000000000000000000a074ef31a4b404c6599a0a4392a4fdfeae1d9be96269,124932866006548.16,20,80,0.245359,514.6653,True
953743,520596254,00000000000000000001da9b60edb82524298efa1d7015e50f0ccea904d63259,124932866006548.16,19,79,0.205549,541.8158,False
953742,2186414256,0000000000000000000093a2793f7311d0455533ce0c25cbbae12b6bcb3af7eb,124932866006548.16,20,80,0.717268,192.8232,True
953741,1153513312,000000000000000000022053bcfdb3df5dcb1f741d80da7bc0f0ace628ddc431,124932866006548.16,19,78,0.583574,284.0026,True
953740,726482239,00000000000000000000083615a1c2c0fe4303daa0bb1b71db42ecac969e9c67,124932866006548.16,21,84,0.348207,444.5229,True
953739,3999521198,0000000000000000000226540d10a1181eba43ecbd1221eeeb56384e894a6376,124932866006548.16,19,78,0.431518,387.7049,True
